entrez_id,uniprot_id
25792,B4E0A3_HUMAN
25792,Q9BTG3_HUMAN
25792,F5H2X7_HUMAN
25792,B7Z3U7_HUMAN
63917,C9J8A7_HUMAN
63917,L8EB40_HUMAN
63917,H7BZL5_HUMAN
63917,GLT11_HUMAN
63917,C9K0N9_HUMAN
63917,C9JMT8_HUMAN
63917,B7Z5G5_HUMAN
63917,C9J111_HUMAN
63917,B7Z3L9_HUMAN
63917,C9JPR8_HUMAN
63917,A0A090N7X6_HUMAN
25791,H7C2C2_HUMAN
25791,NGEF_HUMAN
25791,C9JTV7_HUMAN
25791,H7BZ39_HUMAN
25791,B4DDI2_HUMAN
90627,B2R789_HUMAN
90627,H3BRG5_HUMAN
90627,A0A024RDV4_HUMAN
90627,STA13_HUMAN
90627,H3BUW7_HUMAN
90627,B3KRK6_HUMAN
23649,E9PQ99_HUMAN
23649,E9PIQ6_HUMAN
23649,H0YDR7_HUMAN
23649,DPOA2_HUMAN
137196,A0A024R9H7_HUMAN
137196,CCD26_HUMAN
23647,E9PRV8_HUMAN
23647,ARFP2_HUMAN
23647,E9PPY7_HUMAN
23647,B4DXH2_HUMAN
23647,B4DUZ3_HUMAN
23647,A0A087X1E4_HUMAN
90624,D6R994_HUMAN
90624,D6RBV5_HUMAN
90624,LYRM7_HUMAN
23648,E9PK49_HUMAN
23648,Q9NW25_HUMAN
23648,SSBP3_HUMAN
23648,A0A087WVT6_HUMAN
23648,Q9BT57_HUMAN
23648,Q5T863_HUMAN
63935,PCIF1_HUMAN
63935,A0A087WWZ2_HUMAN
23645,PR15A_HUMAN
23645,M0QXL1_HUMAN
23646,E2QRG1_HUMAN
23646,M0QZK2_HUMAN
23646,M0R2W7_HUMAN
23646,M0R2E7_HUMAN
23646,M0QY94_HUMAN
23646,M0QX50_HUMAN
23646,A0A0A0MS28_HUMAN
23646,M0QYJ4_HUMAN
23646,M0R3G9_HUMAN
23646,PLD3_HUMAN
23646,M0QX99_HUMAN
23646,M0R1F7_HUMAN
23646,A0A024R0Q4_HUMAN
63933,U3KQP8_HUMAN
63933,MCUR1_HUMAN
23643,D0VAW8_HUMAN
23643,LY96_HUMAN
63934,M0QX02_HUMAN
63934,ZN667_HUMAN
63934,K7EQ15_HUMAN
63934,Q9ULA1_HUMAN
63934,Q5CZB4_HUMAN
63934,K7EIE0_HUMAN
63934,K7ERY5_HUMAN
63934,A0A0D9SFC3_HUMAN
23644,I3L0V0_HUMAN
23644,I3L3M2_HUMAN
23644,I3L2F4_HUMAN
23644,EDC4_HUMAN
63931,RT14_HUMAN
63931,L8E935_HUMAN
63931,F2Z361_HUMAN
63931,Q96Q61_HUMAN
25788,A0A087X0H2_HUMAN
25788,RA54B_HUMAN
25788,E5RHN9_HUMAN
25788,E5RI14_HUMAN
25788,E5RJF7_HUMAN
23641,E5L8F5_HUMAN
23641,LDOC1_HUMAN
63932,CX056_HUMAN
25789,TM59L_HUMAN
25789,M0R134_HUMAN
25789,A0A024R7L4_HUMAN
23640,K7EN20_HUMAN
23640,HPBP1_HUMAN
23640,K7EKM6_HUMAN
23640,K7EL16_HUMAN
23640,A0A024R4R7_HUMAN
23640,K7EMM7_HUMAN
23640,K7EQQ0_HUMAN
23640,K7ERT9_HUMAN
2,A2MG_HUMAN
2,L0R6B6_HUMAN
2,H0YFH1_HUMAN
2,F5H1E8_HUMAN
2,Q9BQ22_HUMAN
2,F8W7L3_HUMAN
1,V9HWD8_HUMAN
1,M0R009_HUMAN
1,A1BG_HUMAN
63929,XPP3_HUMAN
63929,F2Z316_HUMAN
63929,A0A087X0Z2_HUMAN
63928,CHP2_HUMAN
25780,H7C352_HUMAN
25780,C9J9C9_HUMAN
25780,C9JWP0_HUMAN
25780,GRP3_HUMAN
25780,C9IYA5_HUMAN
25780,C9K0P4_HUMAN
25780,C9JSS2_HUMAN
63926,ANKE1_HUMAN
25782,F8WDJ2_HUMAN
25782,RBGPR_HUMAN
25782,H7C4Y9_HUMAN
90632,CF176_HUMAN
9,Q5C8V2_HUMAN
9,Q6U7I7_HUMAN
9,Q400J6_HUMAN
9,F5H5R8_HUMAN
9,Q9HAQ5_HUMAN
9,ARY1_HUMAN
9,Q400I9_HUMAN
23636,M0QX64_HUMAN
23636,M0QX10_HUMAN
23636,NUP62_HUMAN
23636,M0R302_HUMAN
23636,M0QZL5_HUMAN
23636,M0QX13_HUMAN
23636,M0QXN5_HUMAN
23636,A0A0U1RVK9_HUMAN
23636,M0R1S1_HUMAN
23636,M0R0B7_HUMAN
23636,M0QYY0_HUMAN
23636,A0A024QZF1_HUMAN
23637,H9NIL4_HUMAN
23637,C9JGR5_HUMAN
23637,RBGP1_HUMAN
23637,B5MCD9_HUMAN
23639,H0YBC4_HUMAN
23639,A0A087X298_HUMAN
23639,TILB_HUMAN
23639,H0YAS5_HUMAN
23639,E5RHF9_HUMAN
23639,G5EA20_HUMAN
129521,NMS_HUMAN
138151,A0A024R8I0_HUMAN
138151,NACC2_HUMAN
25777,SUN2_HUMAN
25777,B0QY68_HUMAN
25777,B4E2A6_HUMAN
25777,B0QY67_HUMAN
25777,B0QY66_HUMAN
25777,B0QY65_HUMAN
25777,B0QY63_HUMAN
25777,H0Y686_HUMAN
25777,B0QY64_HUMAN
25777,B0QY69_HUMAN
25777,B0QY60_HUMAN
25777,A0A024R1P7_HUMAN
23630,Q2N1H9_HUMAN
23630,KCNE5_HUMAN
25778,DUSTY_HUMAN
23632,A8K3J4_HUMAN
23632,CAH14_HUMAN
23632,U3KPU6_HUMAN
23632,U3KQH0_HUMAN
63901,F111A_HUMAN
63901,E9PR18_HUMAN
63901,A0A024R4Z3_HUMAN
63901,E9PNQ0_HUMAN
25776,B0QY54_HUMAN
25776,A0A024R1L9_HUMAN
25776,CBY1_HUMAN
25776,A0A087WUW0_HUMAN
25776,B0QY53_HUMAN
23633,Q5TFJ7_HUMAN
23633,IMA7_HUMAN
23633,S4R3E5_HUMAN
23633,L8E7Z7_HUMAN
23633,G1UI19_HUMAN
23635,D6RAC5_HUMAN
23635,A0A087X244_HUMAN
23635,H0Y9V4_HUMAN
23635,SSBP2_HUMAN
23635,A0A087X159_HUMAN
23635,H0Y9M5_HUMAN
25771,TB22A_HUMAN
25771,A0A0A0MRY0_HUMAN
25771,F8WBF7_HUMAN
25771,F8WDP1_HUMAN
25771,B0QYI1_HUMAN
25770,CV031_HUMAN
90665,A0A024R189_HUMAN
90665,TBL1Y_HUMAN
23627,A7U7M2_HUMAN
23627,Q27H88_HUMAN
23627,PRND_HUMAN
23625,FA89B_HUMAN
23626,Q5TCH7_HUMAN
23626,H0YCK9_HUMAN
23626,Q5TCH6_HUMAN
23626,SPO11_HUMAN
90649,M0QXQ0_HUMAN
90649,ZN486_HUMAN
90649,Q4G180_HUMAN
25766,PR40B_HUMAN
25766,F8VU11_HUMAN
25766,H0YII7_HUMAN
63910,H0UI90_HUMAN
63910,Q5W197_HUMAN
63910,S17A9_HUMAN
23620,NTR2_HUMAN
25769,NCKX2_HUMAN
23623,RUSC1_HUMAN
23623,B4DQB8_HUMAN
23623,A0A087WVK5_HUMAN
23623,A0A087WZ68_HUMAN
23623,A0A087WYU8_HUMAN
23623,A0A087WX95_HUMAN
23623,A0A087WYB2_HUMAN
23623,A0A087WW20_HUMAN
63914,CF164_HUMAN
25763,HYPM_HUMAN
23624,CBLC_HUMAN
25764,HYPK_HUMAN
25764,J3QT56_HUMAN
25764,A0A087WY04_HUMAN
25764,A0A024R5Q1_HUMAN
23621,Q5W9H2_HUMAN
23621,A0A024R3D5_HUMAN
23621,A0A024R3D7_HUMAN
23621,Q6YBQ9_HUMAN
23621,A0A024R3F9_HUMAN
23621,BACE1_HUMAN
23621,B7Z3Z4_HUMAN
23621,Q8IYC8_HUMAN
23621,B7Z3K2_HUMAN
23621,H0YDX0_HUMAN
23621,U3KPS1_HUMAN
23621,E9PJG7_HUMAN
23621,A0A024R3E8_HUMAN
63906,H0Y5H5_HUMAN
63906,Q5JYG5_HUMAN
63906,GPTC3_HUMAN
63905,A2A2E0_HUMAN
63905,MANBL_HUMAN
63904,DUS21_HUMAN
63908,A0A087WZQ7_HUMAN
63908,SNAB_HUMAN
90655,TF2LY_HUMAN
63967,Q05D30_HUMAN
63967,E7ESG2_HUMAN
63967,CLSPN_HUMAN
63967,Q1RMC5_HUMAN
10950,C9JLA2_HUMAN
10950,A0A0G2JRS5_HUMAN
10950,BTG3_HUMAN
10950,A0A0G2JRT0_HUMAN
10950,Q6IAU3_HUMAN
10952,SC61B_HUMAN
10952,S4R3B5_HUMAN
10951,Q6IBN6_HUMAN
10951,K7ELA4_HUMAN
10951,CBX1_HUMAN
10951,J3KS05_HUMAN
10951,B5MD17_HUMAN
10951,Q9Y654_HUMAN
10951,C9JWS9_HUMAN
10954,H7C4F9_HUMAN
10954,C9JY10_HUMAN
10954,PDIA5_HUMAN
10953,TOM34_HUMAN
10956,B4E321_HUMAN
10956,F8W1V2_HUMAN
10956,F8VWQ2_HUMAN
10956,OS9_HUMAN
10956,F8W0R2_HUMAN
10956,F8W1N0_HUMAN
10956,Q9BR60_HUMAN
10956,F8VZI7_HUMAN
10955,SERC3_HUMAN
10955,L8ECD5_HUMAN
10955,L8E9G1_HUMAN
10955,Q5H936_HUMAN
10957,Q49A59_HUMAN
10957,PNRC1_HUMAN
10959,Q6FHT8_HUMAN
10959,TMED2_HUMAN
10959,F5GX39_HUMAN
10959,E7EQ72_HUMAN
112802,K2C71_HUMAN
63979,C9JP37_HUMAN
63979,C9JTB2_HUMAN
63979,FIGL1_HUMAN
63979,C9JSC4_HUMAN
63979,C9JHJ4_HUMAN
63979,C9JKI6_HUMAN
63979,B3KNH6_HUMAN
63979,C9JTG6_HUMAN
63978,PRD14_HUMAN
63978,C9JMM8_HUMAN
63978,A0A023UFG1_HUMAN
63977,E7ER26_HUMAN
63977,PRD15_HUMAN
63977,Q6NXF8_HUMAN
63976,L8E8P9_HUMAN
63976,PRD16_HUMAN
63976,D6RDW0_HUMAN
63976,U3KQL6_HUMAN
63976,D6RFY3_HUMAN
63976,H0YA13_HUMAN
10963,V9HW72_HUMAN
10963,F5H783_HUMAN
10963,STIP1_HUMAN
10963,F5GXD8_HUMAN
10963,H0YGI8_HUMAN
10962,AF1Q_HUMAN
10962,L8E9A9_HUMAN
10962,Q6FGF7_HUMAN
63974,A0A090N7T3_HUMAN
63974,NDF6_HUMAN
63974,A0A087WVG7_HUMAN
63974,Q8IYR9_HUMAN
10961,ERP29_HUMAN
10961,V9HW71_HUMAN
10961,F8VY02_HUMAN
10961,F8W1G0_HUMAN
63973,NGN2_HUMAN
10960,D6RDX1_HUMAN
10960,D6RBV2_HUMAN
10960,D6RBH1_HUMAN
10960,LMAN2_HUMAN
10960,D6RIU4_HUMAN
23683,H7C172_HUMAN
23683,C9JKP8_HUMAN
23683,KPCD3_HUMAN
23683,H0Y5M6_HUMAN
138162,H0Y549_HUMAN
138162,CI116_HUMAN
63971,H0Y9Z7_HUMAN
63971,H0Y925_HUMAN
63971,H0Y307_HUMAN
63971,KI13A_HUMAN
10966,J3KN64_HUMAN
10966,H0YFJ5_HUMAN
10966,RB40B_HUMAN
10966,I3L178_HUMAN
63970,TPIP1_HUMAN
10965,A0A087X0W7_HUMAN
10965,B3KSA0_HUMAN
10965,A0A087WT95_HUMAN
10965,F6VI00_HUMAN
10965,ACOT2_HUMAN
10964,B4E019_HUMAN
10964,C9JPJ0_HUMAN
10964,IF44L_HUMAN
10964,H7C1K6_HUMAN
10969,Q6IB29_HUMAN
10969,EBP2_HUMAN
10969,H7C2Q8_HUMAN
23682,RAB38_HUMAN
23682,A0A024R191_HUMAN
23682,H0YDB7_HUMAN
23682,H0YEA4_HUMAN
63941,X6RCW6_HUMAN
63941,U3KQM7_HUMAN
63941,U3KQJ7_HUMAN
63941,U3KQ06_HUMAN
63941,NECA3_HUMAN
63941,U3KQC6_HUMAN
63941,U3KQR6_HUMAN
63941,U3KQF5_HUMAN
63941,U3KPZ3_HUMAN
10972,TMEDA_HUMAN
10972,G3V2K7_HUMAN
10972,A0A024R6I3_HUMAN
23673,Q6LEU0_HUMAN
23673,STX12_HUMAN
23673,B1AJQ6_HUMAN
63940,E9PIE9_HUMAN
63940,A0A024RCP6_HUMAN
63940,GPSM3_HUMAN
63940,E9PIP3_HUMAN
10971,Q53RR5_HUMAN
10971,Q53S41_HUMAN
10971,1433T_HUMAN
10971,E9PG15_HUMAN
63943,A0A024RCQ6_HUMAN
63943,FKBPL_HUMAN
10974,ADIRF_HUMAN
10974,Q5TBU2_HUMAN
10974,Q5TBU5_HUMAN
138199,Q5T8V1_HUMAN
138199,Q5T8U9_HUMAN
138199,CARME_HUMAN
10973,J3KNJ4_HUMAN
10973,B4DR60_HUMAN
10973,ASCC3_HUMAN
10973,E5RFZ0_HUMAN
23677,C9JWW6_HUMAN
23677,SH3B4_HUMAN
23677,C9JED2_HUMAN
23677,C9JRG1_HUMAN
23677,C9JF25_HUMAN
23676,A0A024RBY1_HUMAN
23676,L8ECE6_HUMAN
23676,SMPX_HUMAN
10970,A0A024RBH2_HUMAN
10970,F8VVU0_HUMAN
10970,CKAP4_HUMAN
10970,Q6NWZ1_HUMAN
63946,M0QZH7_HUMAN
63946,DMRTD_HUMAN
63946,M0R2D7_HUMAN
63946,M0R1Z9_HUMAN
63946,B4DX56_HUMAN
23678,E5RHX2_HUMAN
23678,E5RHR8_HUMAN
23678,E5RK28_HUMAN
23678,Q5H9Q5_HUMAN
23678,E5RJV7_HUMAN
23678,Q53EW6_HUMAN
23678,E5RHY6_HUMAN
10979,G3V281_HUMAN
10979,H0YJ34_HUMAN
10979,G3V379_HUMAN
10979,A0A0U1RRM8_HUMAN
10979,A0A024R687_HUMAN
10979,H0YJB6_HUMAN
10979,G3V5R2_HUMAN
10979,G3V3J0_HUMAN
10979,FERM2_HUMAN
10975,QCR10_HUMAN
10978,E9PJM4_HUMAN
10978,E9PL17_HUMAN
10978,CLP1_HUMAN
10978,E9PKV5_HUMAN
63939,F217B_HUMAN
63939,A2A2M7_HUMAN
63939,B4E2D0_HUMAN
23670,H3BLY0_HUMAN
23670,F5H6B2_HUMAN
23670,TMEM2_HUMAN
23670,H3BLX9_HUMAN
23670,A0A024R229_HUMAN
23670,F5GZC1_HUMAN
23670,B4E1B9_HUMAN
23671,L8E8R4_HUMAN
23671,TEFF2_HUMAN
10985,GCN1_HUMAN
10983,H0YA27_HUMAN
10983,D6RH01_HUMAN
10983,A0A024RDH0_HUMAN
10983,CCNI_HUMAN
10983,D6REZ3_HUMAN
10983,D6RG12_HUMAN
10983,D6RDK3_HUMAN
10983,Q6FHH0_HUMAN
63951,DMRTA_HUMAN
10982,K7EL66_HUMAN
10982,A0A024RC33_HUMAN
10982,K7ENB3_HUMAN
10982,M0QX52_HUMAN
10982,K7ERD8_HUMAN
10982,MARE2_HUMAN
10981,RAB32_HUMAN
10980,C9JQK5_HUMAN
10980,H7C3T0_HUMAN
10980,E7EM64_HUMAN
10980,CSN6_HUMAN
63950,B7ZLH1_HUMAN
63950,DMTA2_HUMAN
63950,B9EG80_HUMAN
10989,A0A087WYS0_HUMAN
10989,Q3B7X4_HUMAN
10989,C9J406_HUMAN
10989,MIC60_HUMAN
10989,H7C463_HUMAN
10989,B9A067_HUMAN
10989,D6RAW4_HUMAN
10989,Q05DN3_HUMAN
10988,F8VZX9_HUMAN
10988,F8VRR3_HUMAN
10988,F8VY03_HUMAN
10988,L0R5B9_HUMAN
10988,G3V1U3_HUMAN
10988,MAP2_HUMAN
10988,F8VSC4_HUMAN
10988,A0A140VJE3_HUMAN
10988,F8VQZ7_HUMAN
10987,E5RFS1_HUMAN
10987,A0A024R7W9_HUMAN
10987,E5RK55_HUMAN
10987,E5RG35_HUMAN
10987,CSN5_HUMAN
10987,E5RHF2_HUMAN
10987,E5RHH5_HUMAN
63948,I6L9A0_HUMAN
63948,DMRTB_HUMAN
63948,A0A0S2Z5I3_HUMAN
23660,J7ME35_HUMAN
23660,J7M2L3_HUMAN
23660,B3KNK8_HUMAN
23660,L8EAP2_HUMAN
23660,J7M940_HUMAN
23660,ZKSC5_HUMAN
23660,Q8N718_HUMAN
23660,F8WBD4_HUMAN
23660,J7M2K9_HUMAN
112849,D6RC46_HUMAN
112849,T3HPD_HUMAN
112849,E9PKK7_HUMAN
112840,WDR89_HUMAN
112840,G3V4B8_HUMAN
112840,A0A024R667_HUMAN
63982,E9PQ79_HUMAN
63982,B7Z9B9_HUMAN
63982,E9PKW2_HUMAN
63982,ANO3_HUMAN
139285,AMER1_HUMAN
112817,H7BY76_HUMAN
112817,HOGA1_HUMAN
112812,ADXL_HUMAN
128408,BHE23_HUMAN
128408,A0A087WXG3_HUMAN
112885,PF21B_HUMAN
112885,B0QYW2_HUMAN
112885,A0A0S2Z665_HUMAN
112885,A0A0S2Z615_HUMAN
112885,A0A0S2Z6R3_HUMAN
112885,B1AHC5_HUMAN
112885,B1AHC6_HUMAN
23613,Q5TH12_HUMAN
23613,A0A087WV57_HUMAN
23613,Q2HXV5_HUMAN
23613,A6H8Y8_HUMAN
23613,Q5TH08_HUMAN
23613,Q5TH07_HUMAN
23613,PKCB1_HUMAN
23613,H7C4X9_HUMAN
23613,A0A087WVZ6_HUMAN
23613,Q569J9_HUMAN
23613,A0A087WYS3_HUMAN
23612,PHLA3_HUMAN
139221,A0A087X269_HUMAN
139221,MUML1_HUMAN
23617,A0ZT99_HUMAN
23617,TSSK2_HUMAN
23616,3BP1_HUMAN
23616,Q3ZTT7_HUMAN
23616,F8WEQ3_HUMAN
23615,PYY2_HUMAN
90678,A0A024R870_HUMAN
90678,LRSM1_HUMAN
23614,PPY2_HUMAN
90673,H0YNQ2_HUMAN
90673,H0YLE3_HUMAN
90673,PPR3E_HUMAN
90673,H0YMS8_HUMAN
90673,H0YMB9_HUMAN
90673,H0YM26_HUMAN
23600,V9GZ45_HUMAN
23600,A0A024RE16_HUMAN
23600,V9GYP4_HUMAN
23600,V9GYU9_HUMAN
23600,D6RB81_HUMAN
23600,AMACR_HUMAN
139212,PIHD3_HUMAN
23601,Q14DL9_HUMAN
23601,CLC5A_HUMAN
23601,C9JPR7_HUMAN
23601,A4D1U7_HUMAN
23601,F8WCL0_HUMAN
23601,C9JCE4_HUMAN
23608,H7C4H5_HUMAN
23608,C9IY57_HUMAN
23608,H7C588_HUMAN
23608,A1L0W6_HUMAN
23608,F8WEY8_HUMAN
23608,F8WBJ4_HUMAN
23608,C9J031_HUMAN
23608,C9IZP5_HUMAN
23608,F8WAS8_HUMAN
23608,C9JYX8_HUMAN
23608,MKRN1_HUMAN
23608,C9JYI0_HUMAN
23607,CD2AP_HUMAN
23609,MKRN2_HUMAN
23609,C9J494_HUMAN
90668,CARL3_HUMAN
23604,H0YLP5_HUMAN
23604,H0YL86_HUMAN
23604,Q1RMF4_HUMAN
23604,H0YMK1_HUMAN
23604,H0YKW8_HUMAN
23604,DAPK2_HUMAN
23604,A0A024R603_HUMAN
23603,H0YHL7_HUMAN
23603,F8VVB7_HUMAN
23603,B4E3S0_HUMAN
23603,F8VV53_HUMAN
23603,COR1C_HUMAN
23603,F8VTT6_HUMAN
23603,F8VUX3_HUMAN
23603,F8W1H8_HUMAN
23603,F8VRE9_HUMAN
23603,A0A024RBI5_HUMAN
23603,F8VSA4_HUMAN
112869,H3BPL5_HUMAN
112869,SGF29_HUMAN
112869,H3BN84_HUMAN
145645,H0YKV2_HUMAN
145645,TERB2_HUMAN
145645,H0YNH3_HUMAN
128434,VTM2L_HUMAN
90693,CC126_HUMAN
90693,C9J0J0_HUMAN
90693,A0A024RA08_HUMAN
128414,J3JS66_HUMAN
128414,A6NNM2_HUMAN
128414,B3KWY5_HUMAN
128414,NKAI4_HUMAN
128414,J9JIE8_HUMAN
112858,PRPK_HUMAN
112858,Q5JZ02_HUMAN
139231,B0QYU2_HUMAN
139231,F199X_HUMAN
115761,ARL11_HUMAN
144983,A0A024QZ98_HUMAN
144983,RA1L2_HUMAN
143458,LRAD3_HUMAN
143458,E9PR86_HUMAN
115752,DI3L1_HUMAN
115752,E9PS35_HUMAN
115752,L8E9K1_HUMAN
115752,E9PI20_HUMAN
115752,E9PKI7_HUMAN
115752,E9PI27_HUMAN
115752,E9PIL0_HUMAN
115749,H0YGI1_HUMAN
115749,CL056_HUMAN
128344,PIFO_HUMAN
128346,L0R828_HUMAN
128346,CA162_HUMAN
150082,C9JYR0_HUMAN
150082,C9JFB6_HUMAN
150082,C9J293_HUMAN
150082,C9J5D2_HUMAN
150082,C9J198_HUMAN
150082,U3KPS7_HUMAN
150082,C9JRD7_HUMAN
150082,LCA5L_HUMAN
150082,C9JIJ8_HUMAN
150082,C9J9Z3_HUMAN
128338,DRAM2_HUMAN
128338,S4R2Z2_HUMAN
128338,A0A024R0B7_HUMAN
81168,OR8J3_HUMAN
81168,A0A126GVE3_HUMAN
150084,IGSF5_HUMAN
150084,L8E8K9_HUMAN
139324,E2QRN0_HUMAN
139324,HDX_HUMAN
143425,B3KNT7_HUMAN
143425,SYT9_HUMAN
143425,E9PDN4_HUMAN
143425,Q8NCP8_HUMAN
143425,L8ECP0_HUMAN
139322,A0A087WYF7_HUMAN
139322,MIC27_HUMAN
139322,A0A087WUX8_HUMAN
115727,C0LTP6_HUMAN
115727,GRP4_HUMAN
143496,O52B4_HUMAN
143496,A0A126GW82_HUMAN
143496,B2RU22_HUMAN
128360,A0A126GV74_HUMAN
128360,O10T2_HUMAN
128366,OR6P1_HUMAN
128366,A0A126GV72_HUMAN
128368,O10Z1_HUMAN
128368,A0A126GV63_HUMAN
128371,OR6K6_HUMAN
128371,A0A126GW14_HUMAN
128371,A0A126GVT9_HUMAN
128372,OR6N1_HUMAN
128372,B2RUT4_HUMAN
115701,ALPK2_HUMAN
115703,K7EK14_HUMAN
115703,RHG33_HUMAN
115703,A1A5D2_HUMAN
115703,A0A0A0MQQ9_HUMAN
115703,K7EQI6_HUMAN
115703,K7EMC2_HUMAN
115704,M0QYX4_HUMAN
115704,M0R1Y1_HUMAN
115704,EVI5L_HUMAN
115708,A0A024R6Q2_HUMAN
115708,Q96B39_HUMAN
115708,H0Y2Q1_HUMAN
115708,TRM61_HUMAN
128387,E9PQP8_HUMAN
128387,TATD3_HUMAN
128387,H0YD82_HUMAN
128387,H0YCC7_HUMAN
128387,H0YCN0_HUMAN
128387,E9PPF0_HUMAN
128387,U3KQ29_HUMAN
128387,E9PRA1_HUMAN
128387,E9PP81_HUMAN
143471,PSA7L_HUMAN
143471,Q4G1B8_HUMAN
143471,F5GY34_HUMAN
143471,B0YJ74_HUMAN
143471,A0A087WYS6_HUMAN
10917,L8EAU7_HUMAN
10917,BTNL3_HUMAN
114625,ERMAP_HUMAN
114625,L8EA32_HUMAN
114625,G4XL73_HUMAN
